trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.25, 'e': 0.2498370564584527}",25,12,22.178067975651462,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.25, 'e': 0.24733868589386818}",20,13,-23.43699356294367,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.25, 'e': 0.24486529903492948}",30,16,-5.194616937931929,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.25, 'e': 0.2424166460445802}",30,23,12.464909994924662,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.25, 'e': 0.2399924795841344}",20,15,9.086802654186036,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.25, 'e': 0.23759255478829303}",20,0,-3.6453668003466078,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
144,False,"{'a': 0.25, 'e': 0.23521662924041012}",25,14,2.162865535847774,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.25, 'e': 0.232864462948006}",20,6,12.705817020061428,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.25, 'e': 0.23053581831852593}",20,9,-40.655677570010205,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
147,False,"{'a': 0.25, 'e': 0.22823046013534068}",25,12,22.30618680168723,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.25, 'e': 0.22594815553398728}",30,18,10.171536405054782,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.25, 'e': 0.2236886739786474}",20,7,22.09075558237843,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.25, 'e': 0.22145178723886091}",20,10,20.30543977867926,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.25, 'e': 0.2192372693664723}",20,1,-3.0000168419127533,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.25, 'e': 0.21704489667280757}",25,7,-12.433713221867487,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 0.25, 'e': 0.2148744477060795}",20,16,5.629019172630464,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.25, 'e': 0.2127257032290187}",20,0,32.82237181982072,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.25, 'e': 0.21059844619672852}",25,13,6.656261806360759,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.25, 'e': 0.20849246173476124}",25,19,12.543529568498244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.25, 'e': 0.2064075371174136}",25,0,11.913934954517645,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.25, 'e': 0.20434346174623946}",25,6,-5.470615325397075,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.25, 'e': 0.2023000271287771}",20,3,26.26440956057965,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.25, 'e': 0.20027702685748933}",20,0,13.801012025498185,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
161,False,"{'a': 0.25, 'e': 0.19827425658891443}",25,0,36.98294738723689,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.25, 'e': 0.19629151402302528}",30,1,2.8503769372522827,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.25, 'e': 0.19432859888279502}",20,10,20.68162484756992,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.25, 'e': 0.19238531289396707}",20,7,-7.2357901267919065,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.25, 'e': 0.1904614597650274}",30,12,24.79855930764091,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.25, 'e': 0.1885568451673771}",25,3,2.4862170691170635,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
167,False,"{'a': 0.25, 'e': 0.18667127671570335}",25,11,-23.979874685885413,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.25, 'e': 0.1848045639485463}",35,5,25.998920361946734,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.25, 'e': 0.18295651830906084}",30,0,-36.927154412810694,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
170,False,"{'a': 0.25, 'e': 0.18112695312597024}",25,14,22.41328634346934,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.25, 'e': 0.17931568359471053}",25,8,-14.381305629774458,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.25, 'e': 0.17752252675876343}",30,23,14.154687766535252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.25, 'e': 0.1757473014911758}",20,10,-11.30031409986045,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.25, 'e': 0.17398982847626404}",35,22,5.364155463942099,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.25, 'e': 0.1722499301915014}",20,13,12.293791505297035,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.25, 'e': 0.17052743088958636}",20,6,3.026266249287925,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.25, 'e': 0.1688221565806905}",20,0,17.460685995152648,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.25, 'e': 0.1671339350148836}",20,8,27.57268014624477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.25, 'e': 0.16546259566473476}",25,0,-6.448974057682523,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
180,False,"{'a': 0.25, 'e': 0.16380796970808742}",30,4,12.362540348185915,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
